time,status,waterLevel,waterSpeed
1:31:09 PM,AMAN,0,0
1:31:10 PM,AMAN,0,0
1:31:11 PM,AMAN,0,0
1:31:13 PM,AMAN,0,0
1:31:15 PM,AMAN,0,0
1:31:16 PM,AMAN,0,0
1:31:17 PM,AMAN,0,0
1:31:19 PM,AMAN,0,0
1:31:21 PM,AMAN,0,0
1:31:22 PM,AMAN,0,0
1:31:23 PM,AMAN,0,0
1:31:24 PM,AMAN,0,0
1:31:26 PM,AMAN,0,0
1:31:27 PM,AMAN,0,0
1:31:28 PM,AMAN,0,0
1:31:29 PM,AMAN,0,0
1:31:30 PM,AMAN,0,0
1:31:32 PM,AMAN,0,0
1:31:33 PM,AMAN,0,0
1:31:34 PM,AMAN,0,0
1:31:35 PM,AMAN,0,0
1:31:36 PM,AMAN,0,0
1:31:38 PM,AMAN,0,0
1:31:39 PM,AMAN,0,0
1:31:40 PM,AMAN,0,0
1:31:41 PM,AMAN,0,0
1:31:43 PM,AMAN,0,0
1:31:44 PM,AMAN,0,0
1:31:46 PM,AMAN,0,0
1:31:47 PM,AMAN,0,0
1:31:50 PM,AMAN,0,0
1:31:52 PM,AMAN,0,0
1:31:53 PM,AMAN,0,0
1:31:54 PM,AMAN,0,0
1:31:55 PM,AMAN,0,0
1:31:56 PM,AMAN,0,0
1:31:58 PM,AMAN,0,0
1:31:59 PM,AMAN,0,0
1:32:00 PM,AMAN,0,0
1:32:01 PM,AMAN,0,0
1:32:02 PM,AMAN,0,0
1:32:03 PM,AMAN,0,0
1:32:04 PM,AMAN,0,0
1:32:06 PM,AMAN,0,0
1:32:07 PM,AMAN,0,0
1:32:08 PM,AMAN,0,0
1:32:11 PM,AMAN,0,0
1:32:13 PM,AMAN,0,0
1:32:14 PM,AMAN,0,0
1:32:15 PM,AMAN,0,0
1:32:17 PM,AMAN,0,0
1:32:18 PM,AMAN,0,0
1:32:19 PM,AMAN,0,0
1:32:21 PM,AMAN,0,0
1:32:22 PM,AMAN,0,0
1:32:23 PM,AMAN,0,0
1:32:26 PM,AMAN,0,0
1:32:28 PM,AMAN,0,0
1:32:29 PM,AMAN,0,0
1:32:30 PM,AMAN,0,0
1:32:31 PM,AMAN,0,0
1:32:32 PM,AMAN,0,0
1:32:33 PM,AMAN,0,0
1:32:35 PM,AMAN,0,0
1:32:36 PM,AMAN,0,0
1:32:37 PM,AMAN,0,0
1:32:38 PM,AMAN,0,0
1:32:39 PM,AMAN,0,0
1:32:40 PM,AMAN,0,0
1:32:41 PM,AMAN,0,0
1:32:43 PM,AMAN,0,0
1:32:44 PM,AMAN,0,0
1:32:45 PM,AMAN,0,0
1:32:46 PM,AMAN,0,0
1:32:47 PM,AMAN,0,0
1:32:48 PM,AMAN,0,0
1:32:50 PM,AMAN,0,0
1:32:52 PM,AMAN,0,0
1:32:53 PM,AMAN,0,0
1:32:54 PM,AMAN,0,0
1:32:55 PM,AMAN,0,0
1:32:56 PM,AMAN,0,0
1:32:57 PM,AMAN,0,0
1:32:58 PM,AMAN,0,0
1:32:59 PM,AMAN,0,0
1:33:01 PM,AMAN,0,0
1:33:02 PM,AMAN,0,0
1:33:03 PM,AMAN,0,0
1:33:05 PM,AMAN,0,0
1:33:06 PM,AMAN,0,0
1:33:07 PM,AMAN,0,0
1:33:08 PM,AMAN,0,0
1:33:09 PM,AMAN,0,0
1:33:10 PM,AMAN,0,0
1:33:12 PM,AMAN,0,0
1:33:13 PM,AMAN,0,0
1:33:14 PM,AMAN,0,0
1:33:15 PM,AMAN,0,0
1:33:16 PM,AMAN,0,0
1:33:17 PM,AMAN,0,0
1:33:18 PM,AMAN,0,0
1:33:19 PM,AMAN,0,0
1:33:21 PM,AMAN,0,0
1:33:22 PM,AMAN,0,0
1:33:23 PM,AMAN,0,0
1:33:24 PM,AMAN,0,0
1:33:26 PM,AMAN,0,0
1:33:27 PM,AMAN,0,0
1:33:31 PM,AMAN,0,0
1:33:32 PM,AMAN,0,0
1:33:33 PM,AMAN,0,0
1:33:34 PM,AMAN,0,0
1:33:35 PM,AMAN,0,0
1:33:37 PM,AMAN,0,0
1:33:38 PM,AMAN,0,0
1:33:39 PM,AMAN,0,0
1:33:40 PM,AMAN,0,0
1:33:41 PM,AMAN,0,0
1:33:42 PM,AMAN,0,0
1:33:44 PM,AMAN,0,0
1:33:45 PM,AMAN,0,0
1:33:46 PM,AMAN,0,0
1:33:47 PM,AMAN,0,0
1:33:48 PM,AMAN,0,0
1:33:50 PM,AMAN,0,0
1:33:51 PM,AMAN,0,0
1:33:52 PM,AMAN,0,0
1:33:53 PM,AMAN,0,0
1:33:54 PM,AMAN,0,0
1:33:55 PM,AMAN,0,0
1:33:57 PM,AMAN,0,0
1:33:58 PM,AMAN,0,0
1:33:59 PM,AMAN,0,0
1:34:00 PM,AMAN,0,0
1:34:02 PM,AMAN,0,0
1:34:03 PM,AMAN,0,0
1:34:04 PM,AMAN,0,0
1:34:05 PM,AMAN,0,0
1:34:07 PM,AMAN,0,0
1:34:08 PM,AMAN,0,0
1:34:09 PM,AMAN,0,0
1:34:10 PM,AMAN,0,0
1:34:11 PM,AMAN,0,0
1:34:13 PM,AMAN,0,0
1:34:16 PM,AMAN,0,0
1:34:17 PM,AMAN,0,0
1:34:19 PM,AMAN,0,0
1:34:20 PM,AMAN,0,0
1:34:21 PM,AMAN,0,0
1:34:22 PM,AMAN,0,0
1:34:23 PM,AMAN,0,0
1:34:24 PM,AMAN,0,0
1:34:25 PM,AMAN,0,0
1:34:27 PM,AMAN,0,0
1:34:28 PM,AMAN,0,0
1:34:29 PM,AMAN,0,0
1:34:30 PM,AMAN,0,0
1:34:31 PM,AMAN,0,0
1:34:32 PM,AMAN,0,0
1:34:34 PM,AMAN,0,0
1:34:35 PM,AMAN,0,0
1:34:36 PM,AMAN,0,0
1:34:37 PM,AMAN,0,0
1:34:38 PM,AMAN,0,0
1:34:40 PM,AMAN,0,0
1:34:41 PM,AMAN,0,0
1:34:42 PM,AMAN,0,0
1:34:43 PM,AMAN,0,0
1:34:44 PM,AMAN,0,0
